number oder,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,PreTest,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,Date
1,female,group B,bachelor's degree,standard,none,72,72,74,< 5,regularly,NULL,3,school_bus,12/1/2022
2,female,group C,some college,standard,completed,69,90,88,10-May,sometimes,yes,0,,12/2/2022
3,female,group B,master's degree,standard,none,90,95,93,< 5,sometimes,yes,4,school_bus,12/3/2022
4,male,group A,associate's degree,free/reduced,none,47,57,44,10-May,never,no,1,,12/4/2022
5,male,group C,some college,standard,none,76,78,75,10-May,sometimes,yes,0,school_bus,12/5/2022
6,female,group B,associate's degree,standard,none,71,83,78,10-May,regularly,yes,1,school_bus,12/6/2022
7,NULL,group B,some college,standard,completed,88,95,92,10-May,never,NULL,1,private,12/7/2022
8,male,group B,some college,free/reduced,none,40,43,39,> 10,sometimes,yes,1,private,12/8/2022
9,male,group D,high school,free/reduced,completed,64,64,67,> 10,sometimes,no,3,private,12/9/2022
10,female,group B,high school,free/reduced,none,38,60,50,< 5,regularly,yes,,private,12/10/2022
11,male,group C,associate's degree,standard,none,58,54,52,10-May,sometimes,NULL,NULL,private,12/11/2022
12,male,group D,associate's degree,standard,none,40,52,43,10-May,sometimes,yes,1,school_bus,12/12/2022
13,female,group B,high school,standard,none,65,81,73,10-May,regularly,no,1,private,12/13/2022
14,male,group A,some college,standard,completed,78,72,70,> 10,sometimes,yes,1,private,12/14/2022
15,female,group A,master's degree,standard,none,50,53,58,< 5,sometimes,yes,2,private,12/15/2022
16,female,group C,some high school,standard,none,NULL,75,78,,sometimes,yes,0,private,12/16/2022
17,male,group C,high school,standard,none,88,89,86,10-May,sometimes,yes,0,school_bus,12/17/2022
18,female,group B,some high school,free/reduced,none,18,32,28,10-May,sometimes,yes,1,school_bus,12/18/2022
19,male,group C,master's degree,free/reduced,completed,46,42,46,10-May,sometimes,no,1,private,12/19/2022
20,female,group C,NULL,free/reduced,none,54,NULL,61,< 5,never,yes,3,private,12/20/2022
21,male,group D,high school,standard,none,66,69,63,10-May,sometimes,yes,5,school_bus,12/21/2022
22,female,group B,some college,free/reduced,completed,65,75,70,10-May,sometimes,no,2,school_bus,12/22/2022
23,male,group D,some college,NULL,none,44,54,53,10-May,NULL,yes,5,,12/23/2022
24,female,group C,some high school,standard,none,69,73,73,10-May,never,no,3,,12/24/2022
25,male,group D,bachelor's degree,free/reduced,completed,74,71,80,10-May,sometimes,yes,2,school_bus,NULL
26,male,group A,master's degree,free/reduced,none,73,74,72,10-May,regularly,yes,1,school_bus,12/26/2022
27,male,group B,some college,standard,none,69,54,55,< 5,sometimes,yes,5,school_bus,12/27/2022
28,female,group C,bachelor's degree,standard,none,67,69,75,> 10,NULL,yes,4,school_bus,12/28/2022
29,male,group C,high school,standard,none,70,70,65,10-May,sometimes,no,1,private,12/29/2022
30,female,group D,master's degree,standard,none,62,70,75,< 5,sometimes,yes,0,private,12/30/2022
31,female,group D,some college,standard,none,69,74,74,10-May,sometimes,yes,5,,12/31/2022
32,female,group B,some college,standard,none,63,65,61,10-May,sometimes,yes,1,school_bus,1/1/2022
33,female,group E,master's degree,free/reduced,none,56,72,65,10-May,sometimes,no,2,private,1/2/2022
34,male,group D,some college,standard,none,40,42,38,,sometimes,yes,0,school_bus,1/3/2022
35,male,group E,some college,standard,none,97,87,82,10-May,sometimes,no,,school_bus,1/4/2022
36,male,group E,associate's degree,standard,completed,81,81,79,10-May,regularly,no,2,private,1/5/2022
37,female,group D,associate's degree,standard,none,74,81,83,10-May,regularly,yes,1,private,1/6/2022
38,female,group D,some high school,free/reduced,none,50,64,59,10-May,regularly,no,1,school_bus,1/7/2022
39,female,group D,associate's degree,free/reduced,completed,75,90,88,10-May,NULL,yes,5,school_bus,1/8/2022
40,male,group B,associate's degree,free/reduced,none,57,56,57,10-May,never,yes,0,school_bus,1/9/2022
41,male,group C,associate's degree,free/reduced,none,55,61,54,10-May,regularly,no,1,NULL,1/10/2022
42,female,group C,associate's degree,standard,none,58,73,68,10-May,regularly,yes,3,school_bus,1/11/2022
43,female,group B,associate's degree,standard,none,53,58,NULL,< 5,sometimes,yes,5,school_bus,1/12/2022
44,male,group B,some college,free/reduced,completed,59,65,66,< 5,sometimes,yes,3,school_bus,1/13/2022
45,female,group E,associate's degree,free/reduced,none,50,56,54,10-May,regularly,yes,,private,1/14/2022
46,male,group B,associate's degree,standard,none,65,54,57,10-May,sometimes,,3,NULL,1/15/2022
47,female,group A,associate's degree,standard,completed,55,65,62,> 10,,no,3,school_bus,1/16/2022
48,female,group C,high school,standard,none,66,71,76,< 5,regularly,no,2,private,1/17/2022
49,female,group D,associate's degree,free/reduced,completed,57,74,76,> 10,regularly,yes,3,school_bus,1/18/2022
50,male,group C,high school,standard,completed,82,84,82,10-May,sometimes,yes,2,school_bus,1/19/2022
51,male,group E,some college,standard,none,53,55,48,> 10,regularly,yes,,private,1/20/2022
52,male,group E,associate's degree,free/reduced,completed,77,69,68,10-May,sometimes,yes,2,private,1/21/2022
53,male,group C,some college,standard,none,53,44,42,> 10,sometimes,yes,3,school_bus,1/22/2022
54,male,group D,high school,standard,none,88,78,75,10-May,sometimes,no,2,private,1/23/2022
55,female,group C,some high school,free/reduced,completed,71,84,87,> 10,regularly,no,1,private,1/24/2022
56,female,group C,high school,free/reduced,none,33,41,43,> 10,regularly,yes,3,school_bus,1/25/2022
57,female,group E,associate's degree,standard,completed,82,85,86,10-May,sometimes,yes,,school_bus,1/26/2022
58,male,group D,associate's degree,standard,none,52,55,49,10-May,sometimes,yes,5,private,1/27/2022
59,male,group D,some college,standard,completed,58,59,58,10-May,sometimes,yes,0,school_bus,1/28/2022
60,female,group C,some high school,free/reduced,none,0,17,10,< 5,never,yes,1,private,1/29/2022
61,male,group E,bachelor's degree,free/reduced,completed,79,74,72,10-May,sometimes,yes,4,school_bus,1/30/2022
62,male,group A,some high school,free/reduced,none,NULL,39,34,10-May,regularly,no,3,school_bus,1/31/2022
63,male,group A,associate's degree,free/reduced,none,62,61,55,,regularly,no,3,school_bus,2/1/2022
64,female,group C,associate's degree,standard,none,69,80,71,10-May,sometimes,yes,3,school_bus,2/2/2022
65,female,group D,some high school,standard,none,59,58,59,> 10,sometimes,yes,3,private,NULL
66,male,group B,some high school,standard,none,67,64,61,10-May,regularly,yes,1,private,2/4/2022
67,male,group D,some high school,free/reduced,none,45,NULL,37,10-May,never,yes,3,school_bus,2/5/2022
68,female,group C,some college,standard,NULL,60,72,74,< 5,sometimes,yes,2,private,2/6/2022
69,male,group B,associate's degree,free/reduced,none,61,58,56,10-May,sometimes,no,,school_bus,2/7/2022
70,female,group C,associate's degree,standard,none,39,64,57,10-May,sometimes,no,5,school_bus,2/8/2022
71,female,group D,some college,free/reduced,completed,58,63,73,10-May,regularly,yes,,,2/9/2022
72,male,group D,some college,standard,completed,63,55,63,> 10,sometimes,yes,2,school_bus,2/10/2022
73,female,group A,associate's degree,free/reduced,none,41,51,48,10-May,never,yes,1,school_bus,2/11/2022
74,male,group C,some high school,free/reduced,none,61,57,56,> 10,regularly,yes,0,private,2/12/2022
75,male,group C,some high school,standard,none,49,49,41,,sometimes,yes,0,private,NULL
76,male,group B,associate's degree,free/reduced,none,44,41,38,10-May,sometimes,NULL,,school_bus,2/14/2022
77,male,group E,some high school,standard,none,30,26,22,10-May,regularly,yes,0,private,2/15/2022
78,male,group A,bachelor's degree,standard,completed,80,78,81,10-May,never,,3,private,2/16/2022
79,female,group D,some high school,standard,completed,61,74,72,10-May,sometimes,yes,0,private,NULL
80,female,group E,master's degree,standard,none,62,68,68,< 5,NULL,yes,,school_bus,2/18/2022
81,female,group B,associate's degree,standard,none,47,49,50,10-May,sometimes,yes,0,private,2/19/2022
82,male,group B,high school,NULL,none,49,45,45,< 5,regularly,yes,3,school_bus,2/20/2022
83,male,group A,some college,free/reduced,completed,50,47,54,> 10,sometimes,yes,,private,2/21/2022
84,male,group E,associate's degree,standard,none,72,64,63,10-May,regularly,no,4,,2/22/2022
85,male,NULL,high school,free/reduced,none,42,39,34,< 5,sometimes,no,1,,2/23/2022
86,female,group C,some college,standard,none,73,80,82,> 10,regularly,no,3,private,2/24/2022
87,female,group C,some college,free/reduced,none,76,83,88,10-May,regularly,yes,4,private,2/25/2022
88,female,group D,associate's degree,standard,none,71,71,74,10-May,regularly,yes,5,school_bus,2/26/2022
89,female,group A,some college,NULL,none,58,70,67,< 5,never,yes,0,school_bus,2/27/2022
90,female,group D,some high school,standard,none,73,86,NULL,> 10,regularly,yes,2,,NULL
91,female,group C,bachelor's degree,standard,none,65,72,74,< 5,regularly,yes,3,school_bus,3/1/2022
92,male,group C,high school,free/reduced,none,NULL,34,36,10-May,sometimes,no,7,school_bus,3/2/2022
93,male,group C,high school,standard,none,71,79,71,10-May,sometimes,no,1,private,3/3/2022
94,male,group C,associate's degree,free/reduced,completed,43,45,50,10-May,regularly,yes,3,school_bus,3/4/2022
95,female,group B,NULL,standard,none,79,86,92,10-May,regularly,no,3,school_bus,3/5/2022
96,male,group C,associate's degree,free/reduced,completed,78,81,82,> 10,NULL,yes,1,school_bus,3/6/2022
97,male,group B,NULL,standard,completed,65,66,62,10-May,sometimes,yes,NULL,school_bus,3/7/2022
98,female,group E,some college,standard,completed,63,72,70,10-May,sometimes,no,3,private,3/8/2022
99,female,group D,some college,free/reduced,none,58,67,62,10-May,sometimes,yes,0,school_bus,3/9/2022
100,female,group D,bachelor's degree,standard,none,65,67,62,10-May,sometimes,yes,NULL,school_bus,3/10/2022
101,male,group B,some college,standard,none,79,67,67,10-May,regularly,no,3,school_bus,3/11/2022
102,male,group D,bachelor's degree,standard,completed,68,74,74,> 10,sometimes,yes,4,school_bus,3/12/2022
103,female,NULL,NULL,standard,NULL,85,91,89,10-May,regularly,no,6,,3/13/2022
104,male,group B,high school,standard,completed,60,44,47,10-May,sometimes,yes,0,school_bus,3/14/2022
105,male,group C,some college,standard,completed,98,86,90,< 5,never,yes,1,NULL,3/15/2022
106,female,group C,some college,standard,none,58,67,72,< 5,regularly,yes,3,school_bus,3/16/2022
107,female,group D,master's degree,standard,none,87,100,100,10-May,sometimes,yes,4,private,3/17/2022
108,male,group E,associate's degree,standard,completed,66,63,64,10-May,never,no,1,school_bus,3/18/2022
109,female,group B,associate's degree,free/reduced,none,52,76,70,10-May,never,no,2,private,3/19/2022
110,female,group B,some high school,standard,none,70,64,72,> 10,regularly,yes,0,private,3/20/2022
111,female,group D,associate's degree,free/reduced,completed,77,89,98,10-May,sometimes,no,3,school_bus,3/21/2022
112,male,group C,high school,standard,none,62,55,49,10-May,never,yes,1,school_bus,3/22/2022
113,male,group A,associate's degree,standard,none,54,53,47,< 5,sometimes,yes,3,school_bus,3/23/2022
114,female,group D,some college,standard,none,51,58,54,10-May,regularly,yes,1,,3/24/2022
115,female,group E,bachelor's degree,standard,completed,99,100,100,,sometimes,no,3,private,3/25/2022
116,male,group C,high school,standard,none,84,77,74,< 5,regularly,no,3,school_bus,3/26/2022
117,female,group B,bachelor's degree,free/reduced,none,75,85,82,> 10,never,yes,2,school_bus,3/27/2022
118,female,group D,bachelor's degree,standard,none,78,82,79,10-May,,no,3,private,3/28/2022
119,female,group D,some high school,standard,none,51,63,61,< 5,regularly,no,3,school_bus,3/29/2022
120,female,group C,some college,standard,none,55,69,65,< 5,never,yes,2,private,3/30/2022
121,female,group C,bachelor's degree,standard,completed,79,92,89,10-May,regularly,yes,0,school_bus,3/31/2022
122,male,group B,associate's degree,standard,completed,91,89,92,< 5,sometimes,no,1,school_bus,4/1/2022
123,female,group C,some college,standard,completed,88,93,93,< 5,regularly,yes,1,private,4/2/2022
124,male,group D,high school,free/reduced,none,63,57,56,10-May,regularly,yes,2,school_bus,4/3/2022
125,male,group E,some college,standard,none,83,80,73,< 5,never,no,6,,4/4/2022
126,female,group B,high school,standard,none,87,95,86,> 10,sometimes,yes,1,private,4/5/2022
127,male,NULL,some high school,standard,none,72,68,67,< 5,sometimes,yes,1,,4/6/2022
128,male,group D,some college,standard,completed,65,77,74,10-May,NULL,yes,1,private,4/7/2022
129,NULL,group D,master's degree,standard,none,82,82,74,< 5,sometimes,yes,0,school_bus,4/8/2022
130,female,group A,bachelor's degree,standard,none,51,49,NULL,10-May,sometimes,yes,1,private,4/9/2022
131,male,group D,master's degree,standard,none,89,84,82,> 10,sometimes,yes,0,private,4/10/2022
132,male,group C,some high school,free/reduced,completed,53,37,40,10-May,sometimes,no,1,school_bus,NULL
133,male,group E,some college,free/reduced,completed,87,74,70,10-May,regularly,no,2,private,4/12/2022
134,female,group C,some college,standard,completed,75,81,84,< 5,regularly,,1,private,4/13/2022
135,male,group D,bachelor's degree,free/reduced,completed,74,79,75,10-May,sometimes,no,1,school_bus,4/14/2022
136,male,group C,bachelor's degree,standard,none,58,55,48,> 10,sometimes,yes,3,private,4/15/2022
137,male,group B,some high school,standard,completed,NULL,54,41,< 5,regularly,yes,1,school_bus,4/16/2022
138,male,group E,high school,standard,none,70,55,NULL,< 5,sometimes,yes,1,private,4/17/2022
139,female,group C,associate's degree,standard,none,59,66,67,10-May,regularly,no,3,private,4/18/2022
140,male,group D,some college,standard,completed,71,NULL,69,10-May,sometimes,no,2,private,4/19/2022
141,female,group D,some high school,standard,none,76,72,71,< 5,sometimes,yes,2,school_bus,4/20/2022
142,female,group C,some college,free/reduced,none,59,62,64,10-May,sometimes,no,1,,4/21/2022
143,female,group E,some college,free/reduced,completed,42,55,54,< 5,never,no,2,,4/22/2022
144,male,group A,high school,standard,none,57,43,47,< 5,regularly,yes,3,school_bus,4/23/2022
145,male,group D,some college,standard,none,88,73,78,10-May,regularly,yes,1,school_bus,4/24/2022
146,female,group C,some college,free/reduced,none,22,39,33,< 5,sometimes,yes,2,school_bus,4/25/2022
147,male,group B,some high school,standard,none,88,84,75,10-May,regularly,yes,2,private,4/26/2022
148,male,group C,associate's degree,free/reduced,none,73,68,66,> 10,NULL,no,3,school_bus,4/27/2022
149,female,group D,bachelor's degree,standard,completed,68,75,81,10-May,sometimes,yes,2,private,4/28/2022
150,male,group E,associate's degree,free/reduced,completed,100,100,93,10-May,sometimes,yes,3,school_bus,4/29/2022
151,male,group A,some high school,standard,completed,62,67,69,10-May,never,no,NULL,school_bus,4/30/2022
152,male,group A,bachelor's degree,standard,none,77,67,68,10-May,sometimes,yes,1,NULL,5/1/2022
153,female,group B,NULL,standard,completed,59,70,66,< 5,never,yes,3,private,5/2/2022
154,male,group D,bachelor's degree,standard,none,54,49,47,10-May,sometimes,NULL,0,school_bus,5/3/2022
155,male,group D,some high school,standard,none,62,67,61,10-May,sometimes,yes,5,NULL,5/4/2022
156,female,group C,some college,NULL,completed,70,89,88,> 10,regularly,no,1,private,5/5/2022
157,female,group E,high school,free/reduced,completed,66,74,78,10-May,regularly,yes,2,private,5/6/2022
158,male,group B,some college,free/reduced,none,60,60,60,> 10,regularly,yes,5,school_bus,5/7/2022
159,female,group B,associate's degree,standard,completed,61,86,87,< 5,sometimes,no,3,school_bus,5/8/2022
160,male,group D,associate's degree,free/reduced,none,66,62,64,10-May,never,yes,3,school_bus,5/9/2022
161,male,group B,associate's degree,NULL,completed,82,78,74,10-May,sometimes,NULL,2,school_bus,NULL
162,female,group E,some college,free/reduced,completed,75,88,85,< 5,sometimes,no,1,school_bus,5/11/2022
163,male,group B,master's degree,free/reduced,none,49,53,52,10-May,sometimes,yes,1,school_bus,5/12/2022
164,male,group C,high school,standard,none,52,53,49,< 5,sometimes,no,2,school_bus,5/13/2022
165,female,group E,master's degree,standard,none,81,92,91,NULL,regularly,yes,,NULL,5/14/2022
166,female,group C,bachelor's degree,standard,completed,96,100,100,10-May,regularly,yes,2,school_bus,5/15/2022
167,male,group C,high school,free/reduced,completed,53,51,51,10-May,regularly,yes,0,school_bus,5/16/2022
168,female,group B,master's degree,free/reduced,completed,58,76,78,< 5,sometimes,yes,2,private,5/17/2022
169,female,group B,high school,standard,completed,68,83,78,10-May,sometimes,yes,1,private,5/18/2022
170,female,group C,some college,free/reduced,completed,67,75,70,NULL,sometimes,yes,3,private,5/19/2022
171,male,group A,high school,standard,completed,72,73,74,< 5,sometimes,no,,private,NULL
172,male,group E,some high school,standard,none,94,88,78,< 5,never,yes,5,private,5/21/2022
173,female,group D,some college,standard,NULL,79,86,81,NULL,never,yes,1,school_bus,5/22/2022
174,female,group C,associate's degree,standard,none,63,67,70,10-May,sometimes,no,4,NULL,5/23/2022
175,female,group C,bachelor's degree,free/reduced,completed,43,51,54,< 5,regularly,no,3,school_bus,5/24/2022
176,female,group C,master's degree,standard,completed,81,91,87,< 5,sometimes,yes,1,school_bus,5/25/2022
177,female,group B,high school,free/reduced,completed,46,NULL,58,10-May,sometimes,yes,2,school_bus,5/26/2022
178,female,group C,associate's degree,standard,completed,71,77,77,< 5,sometimes,no,2,school_bus,5/27/2022
179,female,NULL,master's degree,free/reduced,completed,NULL,70,62,,sometimes,no,3,private,5/28/2022
180,female,group D,some high school,standard,completed,97,100,100,,regularly,yes,4,,5/29/2022
181,male,group C,master's degree,NULL,NULL,62,NULL,75,< 5,regularly,yes,1,school_bus,5/30/2022
182,female,group C,some college,free/reduced,none,46,64,66,< 5,regularly,no,4,school_bus,5/31/2022
183,NULL,group E,high school,standard,none,50,50,47,10-May,never,yes,1,school_bus,6/1/2022
184,female,group D,associate's degree,standard,none,65,69,70,> 10,,no,NULL,private,6/2/2022
185,male,group C,some high school,free/reduced,completed,45,52,49,> 10,regularly,yes,3,,6/3/2022
186,male,group C,associate's degree,free/reduced,completed,NULL,67,65,10-May,regularly,yes,3,private,6/4/2022
187,male,group E,high school,standard,none,80,76,65,< 5,regularly,NULL,1,private,6/5/2022
188,male,NULL,some high school,standard,completed,62,66,68,< 5,sometimes,yes,3,school_bus,6/6/2022
189,male,group B,some high school,NULL,none,48,52,45,10-May,sometimes,yes,NULL,school_bus,6/7/2022
190,female,group C,bachelor's degree,standard,none,77,88,87,10-May,regularly,yes,2,school_bus,6/8/2022
191,female,group E,associate's degree,standard,none,66,NULL,69,< 5,regularly,yes,1,,6/9/2022
192,male,group D,some college,standard,completed,76,83,79,< 5,,yes,,school_bus,6/10/2022
193,female,group B,some high school,standard,none,62,64,NULL,10-May,regularly,yes,4,school_bus,6/11/2022
194,male,group D,some college,standard,completed,77,62,62,10-May,regularly,no,2,school_bus,6/12/2022
